variable,price_return_15m,price_return_1h,price_range_15m,price_volatility_1h,gex_dist_gamma_flip,gex_dist_support_1,gex_dist_resistance_1,gex_regime_encoded,total_gex,iv,iv_skew,iv_change_15m,iv_percentile_all,liq_sentiment_encoded,liq_spacing_avg,liq_momentum,liq_max_change,liq_dist_nearest
price_return_15m,1.0000,0.5045,0.0643,-0.0723,0.2450,0.3906,-0.4113,0.0077,0.0030,0.0090,-0.2878,0.0064,0.0050,0.0816,0.0010,-0.1538,0.0453,0.1360
price_return_1h,0.5045,1.0000,0.0309,-0.0113,0.2815,0.3198,-0.3363,0.0981,0.1039,-0.0417,-0.2278,-0.0475,-0.0296,0.2328,-0.0246,-0.0309,0.0397,0.2385
price_range_15m,0.0643,0.0309,1.0000,0.3788,-0.1742,0.0223,0.0523,-0.2593,-0.2534,0.2205,-0.0450,0.0218,0.2468,-0.1052,0.1558,-0.0423,0.2231,0.2449
price_volatility_1h,-0.0723,-0.0113,0.3788,1.0000,-0.1399,0.0695,-0.0412,-0.2577,-0.2187,0.3365,-0.0061,0.0031,0.3076,-0.0750,0.2175,-0.0396,0.1999,0.2670
gex_dist_gamma_flip,0.2450,0.2815,-0.1742,-0.1399,1.0000,0.3860,-0.4585,0.4859,0.5851,-0.3188,-0.0895,0.0074,-0.2830,0.2749,-0.1925,0.0410,-0.1182,-0.0100
gex_dist_support_1,0.3906,0.3198,0.0223,0.0695,0.3860,1.0000,-0.6771,-0.0601,-0.0558,0.0039,-0.1625,0.0219,0.0149,-0.0480,-0.0211,-0.0760,-0.0053,0.0703
gex_dist_resistance_1,-0.4113,-0.3363,0.0523,-0.0412,-0.4585,-0.6771,1.0000,-0.0073,0.0012,0.0105,0.1549,-0.0222,0.0408,-0.0829,0.0255,0.0820,0.0012,-0.0780
gex_regime_encoded,0.0077,0.0981,-0.2593,-0.2577,0.4859,-0.0601,-0.0073,1.0000,0.8607,-0.4108,0.0276,-0.0250,-0.4632,0.2858,-0.2884,0.0848,-0.1479,-0.0823
total_gex,0.0030,0.1039,-0.2534,-0.2187,0.5851,-0.0558,0.0012,0.8607,1.0000,-0.4121,0.0286,-0.0173,-0.4690,0.3304,-0.2856,0.1097,-0.1635,-0.1059
iv,0.0090,-0.0417,0.2205,0.3365,-0.3188,0.0039,0.0105,-0.4108,-0.4121,1.0000,-0.1310,0.1411,0.8186,-0.0715,0.6530,-0.0477,0.3102,0.2379
iv_skew,-0.2878,-0.2278,-0.0450,-0.0061,-0.0895,-0.1625,0.1549,0.0276,0.0286,-0.1310,1.0000,-0.0460,-0.0768,-0.1255,-0.0749,0.2497,-0.0895,-0.0982
iv_change_15m,0.0064,-0.0475,0.0218,0.0031,0.0074,0.0219,-0.0222,-0.0250,-0.0173,0.1411,-0.0460,1.0000,0.0786,-0.0176,-0.0008,-0.0743,-0.0479,-0.0291
iv_percentile_all,0.0050,-0.0296,0.2468,0.3076,-0.2830,0.0149,0.0408,-0.4632,-0.4690,0.8186,-0.0768,0.0786,1.0000,-0.0615,0.5125,-0.0309,0.2298,0.1776
liq_sentiment_encoded,0.0816,0.2328,-0.1052,-0.0750,0.2749,-0.0480,-0.0829,0.2858,0.3304,-0.0715,-0.1255,-0.0176,-0.0615,1.0000,-0.0115,0.0617,-0.0426,0.0331
liq_spacing_avg,0.0010,-0.0246,0.1558,0.2175,-0.1925,-0.0211,0.0255,-0.2884,-0.2856,0.6530,-0.0749,-0.0008,0.5125,-0.0115,1.0000,-0.0062,0.3328,0.1066
liq_momentum,-0.1538,-0.0309,-0.0423,-0.0396,0.0410,-0.0760,0.0820,0.0848,0.1097,-0.0477,0.2497,-0.0743,-0.0309,0.0617,-0.0062,1.0000,-0.0099,0.0454
liq_max_change,0.0453,0.0397,0.2231,0.1999,-0.1182,-0.0053,0.0012,-0.1479,-0.1635,0.3102,-0.0895,-0.0479,0.2298,-0.0426,0.3328,-0.0099,1.0000,0.3482
liq_dist_nearest,0.1360,0.2385,0.2449,0.2670,-0.0100,0.0703,-0.0780,-0.0823,-0.1059,0.2379,-0.0982,-0.0291,0.1776,0.0331,0.1066,0.0454,0.3482,1.0000
