label,target,stop,trades,pnl,pf,sharpe,max_dd,win_rate,avg_trade,calmar
no_sl_no_tp,500,500,2403,84736,1.29,4.80,5.62,53.77,35.26,11.03
tp30_sl500,30,500,2403,70176,1.25,4.53,4.53,54.60,29.20,11.48
tp40_sl500,40,500,2403,74596,1.26,4.44,5.63,54.06,31.04,9.77
tp25_sl500,25,500,2403,59681,1.22,3.81,4.92,54.97,24.84,8.94
tp20_sl500,20,500,2403,60836,1.23,4.14,4.75,56.39,25.32,9.47
tp30_sl30,30,30,2403,46436,1.16,3.00,5.90,53.47,19.32,5.93
tp30_sl40,30,40,2403,48856,1.16,3.14,5.46,54.02,20.33,6.78
tp30_sl50,30,50,2403,52281,1.18,3.24,5.91,54.39,21.76,6.60
tp30_sl60,30,60,2403,59066,1.20,3.78,4.98,54.52,24.58,8.84
tp40_sl60,40,60,2403,64221,1.22,3.85,5.72,53.97,26.73,8.39
tp50_sl60,50,60,2403,67991,1.23,3.89,5.65,53.77,28.29,8.85
tp50_sl80,50,80,2403,69606,1.23,3.91,5.67,53.81,28.97,8.99
tp80_sl60,80,60,2403,73881,1.25,4.24,5.47,53.68,30.75,9.87
tp80_sl80,80,80,2403,75496,1.25,4.31,5.54,53.72,31.42,10.11
tp100_sl100,100,100,2403,74866,1.25,4.04,5.85,53.72,31.16,9.40
